11180P;2;"CAMISA DE CAMUFLAJE TOTAL T.P";"18/06/2004 19:29:50";19,99;39,99;1039;"MARCHER SPORT,S.L.";32;;"BF22, BF23, LB22, LB23, OUTLET, RBE22, RBE23, RBE24, RBV22, RBV23, REVER242, RV21";;3353;"718
"
120109-XXL;2;"PANTALON CHIRUCA SILVANO PRO 08. Color Verde-Naranja. Talla XXL";"30/05/2019 16:16:37";82,99;117,99;9009;"CALZADOS FAL S.A.";1;"CAZA 2019-2020";"BF21, BF22, BF23, LB23, OUTLET, RBE22, RBE23, RBE24, RBV22, RBV23, REVER242";"15/10/2020 13:50:09";100094328;"100010557
"
120110-M;2;"PANTALON CHIRUCA ODIN 01 CH+. Color Verde. Talla M";"30/05/2019 16:16:37";109,99;118,99;9009;"CALZADOS FAL S.A.";2;"CAZA 2020-2021 (WEB)";"BF21, BF22, BF23, IRN21, RBE22, RBE23, RBE24, RBV22, RECOMENDADO, REVER242, TEMPORADA_INVIERNO";"07/06/2024 11:18:31";100094318;"100031676
"
120110-XXL;2;"PANTALON CHIRUCA ODIN 01 CH+. Color Verde. Talla XXL";"30/05/2019 16:16:37";109,99;118,99;9009;"CALZADOS FAL S.A.";2;"CAZA 2020-2021 (WEB)";"BF21, BF22, BF23, IRN21, RBE22, RBE23, RBE24, RBV22, RECOMENDADO, REVER242, TEMPORADA_INVIERNO";"07/06/2024 11:18:31";100094322;"100031676
"
120110-XXXL;2;"PANTALON CHIRUCA ODIN 01 CH+. Color Verde. Talla XXXL";"30/05/2019 16:16:37";109,99;118,99;9009;"CALZADOS FAL S.A.";1;"CAZA 2020-2021 (WEB)";"BF21, BF22, BF23, IRN21, RBE22, RBE23, RBE24, RBV22, RECOMENDADO, REVER242, TEMPORADA_INVIERNO";"07/06/2024 11:18:31";100094323;"100031676
"
120111-XXXL;2;"PANTALON CHIRUCA VIGO 01 ELASTICO. TALLA XXXL";"30/05/2019 16:16:37";99,99;99,99;9009;"CALZADOS FAL S.A.";1;"CAZA 2020-2021 (WEB), CAZA 2019-2020";"BF21, BF22, BF23, CAMINO, IRN21, IRN22, RBE22, RBE23, RBE24, RBV22, RBV23, RECOMENDADO, REVER242";"07/06/2024 11:18:32";100094316;"100031675
"
120113-48;1;"PANTALON DEERHUNTER MUFLON. TALLA 48 ( 42 ESPAÑOLA)";"11/07/2019 13:20:55";279,99;280;7043;"GAMO OUTDOOR S.L.";0;"CAZA 2019-2020";"BF21, BF22, BF23, COMPARADOR, COMP_FR, COMP_PT, IRN21, RBE24, RBV23, REVER242, TEMPORADA_INVIERNO";"04/03/2024 19:29:36";100096988;"100031980
"
120113-50;1;"PANTALON DEERHUNTER MUFLON. TALLA 50 ( 44 ESPAÑOLA)";"11/07/2019 13:20:55";279,99;280;7043;"GAMO OUTDOOR S.L.";1;"CAZA 2019-2020";"BF21, BF22, BF23, IRN21, LB23, RBE22, RBE24, RBV23, REVER242, TEMPORADA_INVIERNO";"04/03/2024 19:29:36";100096530;"100031980
"
120113-52;1;"PANTALON DEERHUNTER MUFLON. TALLA 52 ( 46 ESPAÑOLA)";"11/07/2019 13:20:55";279,99;280;7043;"GAMO OUTDOOR S.L.";0;"CAZA 2019-2020";"BF21, BF22, BF23, IRN21, LB23, RBE22, RBE24, RBV23, REVER242, TEMPORADA_INVIERNO";"04/03/2024 19:29:36";100096531;"100031980
"
120113-54;1;"PANTALON DEERHUNTER MUFLON. TALLA 54  ( 48 ESPAÑOLA)";"11/07/2019 13:20:55";279,99;280;7043;"GAMO OUTDOOR S.L.";1;"CAZA 2019-2020";"BF21, BF22, BF23, IRN21, LB23, RBE22, RBE24, RBV23, REVER242, SD21, TEMPORADA_INVIERNO";"04/03/2024 19:29:36";100096532;"100031980
"
120113-56;1;"PANTALON DEERHUNTER MUFLON. TALLA 56 ( 50 ESPAÑOLA)";"11/07/2019 13:20:55";279,99;280;7043;"GAMO OUTDOOR S.L.";0;"CAZA 2019-2020";"BF21, BF22, BF23, IRN21, RBE22, RBE24, RBV23, REVER242, SD21, TEMPORADA_INVIERNO";"04/03/2024 19:29:36";100096533;"100031980
"
120113-58;1;"PANTALON DEERHUNTER MUFLON. TALLA 58 ( 52 ESPAÑOLA)";"11/07/2019 13:20:55";279,99;280;7043;"GAMO OUTDOOR S.L.";3;"CAZA 2019-2020";"BF21, BF22, BF23, IRN21, LB23, RBE22, RBE24, RBV23, REVER242, TEMPORADA_INVIERNO";"04/03/2024 19:29:36";100096534;"100031980
"
120113-60;1;"PANTALON DEERHUNTER MUFLON. TALLA 60 ( 54 ESPAÑOLA)";"11/07/2019 13:20:56";279,99;280;7043;"GAMO OUTDOOR S.L.";1;"CAZA 2019-2020";"BF21, BF22, BF23, IRN21, LB23, RBE22, RBE24, RBV23, REVER242, TEMPORADA_INVIERNO";"04/03/2024 19:29:36";100096535;"100031980
"
120113-62;1;"PANTALON DEERHUNTER MUFLON. TALLA 62-T 56";"11/07/2019 13:20:56";279,99;280;7043;"GAMO OUTDOOR S.L.";0;"CAZA 2019-2020";"BF21, BF22, BF23, IRN21, RBE24, RBV23, REVER242, TEMPORADA_INVIERNO";"04/03/2024 19:29:37";100096989;"100031980
"
120113-64;1;"PANTALON DEERHUNTER MUFLON. TALLA 64 ( 458  ESPAÑOLA)";"11/07/2019 13:20:56";279,99;280;7043;"GAMO OUTDOOR S.L.";0;"CAZA 2019-2020";"BF21, BF22, BF23, IRN21, RBE24, RBV23, REVER242, TEMPORADA_INVIERNO";"04/03/2024 19:29:37";100096990;"100031980
"
120501M;1;"ZAHONES-PERNERAS (NUEVAS) T.M";"27/07/2006 12:45:57";22,99;22,99;9025;"GALICIA MARITIMA, S.L.";522;"COMPETICION 2015, CAZA 2019-2020, CAZA 2018-2019, CAZA 2017-2018, CAZA 2016-2017, CAZA 2015-16, CAZA 2014-15";"BF21, BF23, LB23, RBE22, RBE24, RBV23, REVER242, RV21";;61095;"15727
"
120501XL;1;"ZAHONES-PERNERAS (NUEVAS) T.XL";"27/07/2006 18:06:55";22,99;22,99;9025;"GALICIA MARITIMA, S.L.";161;"COMPETICION 2015, CAZA 2019-2020, CAZA 2018-2019, CAZA 2017-2018, CAZA 2016-2017, CAZA 2015-16, CAZA 2014-15";"BF21, BF23, LB23, RBE22, RBE24, RBV23, REVER242, RV21";;61097;"15727
"
120850;2;"PANTALON CAMUFLAJE T.50";"18/06/2004 19:29:50";27,99;39,99;1254;"EVIA SUMINISTROS EVIA, S.L.";1;;"BF21, BF22, BF23, LB22, LB23, OUTLET, RBE23, RBE24, RBV22, RBV23, REVER242, RV21";;3394;"239
"
120852;2;"PANTALON CAMUFLAJE T.52";"18/06/2004 19:29:50";27,99;39,99;73022;"JILIN PROVINCE TEXTILES";1;;"BF21, BF22, BF23, LB22, LB23, OUTLET, RBE23, RBE24, RBV22, RBV23, REVER242, RV21";;3395;"239
"
120854;2;"PANTALON CAMUFLAJE T.54";"18/06/2004 19:29:50";27,99;39,99;73022;"JILIN PROVINCE TEXTILES";2;;"BF21, BF22, LB22, OUTLET, RBE22, RBE23, RBV22, RBV23, REVER242, RV21";;3396;"239
"
120856;2;"PANTALON CAMUFLAJE T.56";"18/06/2004 19:29:50";27,99;39,99;7003;"BENISPORT (JOSE MONLLOR, S.L.)";1;;"BF21, BF22, BF23, LB22, LB23, OUTLET, RBE23, RBE24, RBV22, RBV23, REVER242, RV21";;3397;"239
"
127501-48;2;"PANTALON ELITE DE VERANOT.48 (44 ESPAÑOLA)";"15/09/2011 17:35:10";13,99;22,99;72974;"UNISPORT HOLDING S.R.L.";1;"CAZA 2014-15";"BF21, BF22, BF23, LB22, LB23, OUTLET, RBE22, RBE23, RBV22, RBV23, REVER242, RV21";;100010148;"100004351
"
129101-38;2;"PANTALON ARMOTION EVO T-38";"25/05/2016 10:52:06";89,99;125;1254;"EVIA SUMINISTROS EVIA, S.L.";1;"CAZA 2019-2020, CAZA 2018-2019, CAZA 2017-2018, CAZA 2016-2017";"BF21, BF22, BF23, IRN21, RBE22, RBE23, RBE24, RBV23, REVER242, TEMPORADA_INVIERNO";"01/03/2023 15:32:54";100038632;"100014443
"
129101-46;2;"PANTALON ARMOTION EVO T-46";"25/05/2016 10:52:06";89,99;125;1254;"EVIA SUMINISTROS EVIA, S.L.";1;"CAZA 2019-2020, CAZA 2018-2019, CAZA 2017-2018, CAZA 2016-2017";"BF21, BF22, BF23, COMPARADOR, COMP_FR, COMP_PT, IRN21, RBE22, RBE23, RBE24, RBV23, REVER242, TEMPORADA_INVIERNO";"01/03/2023 15:32:54";100038636;"100014443
"
