transaccion;url_transaccion;fecha_creacion;primer_idcambiotabla;total_cambios;fecha_insercion;fecha_actualizacion;fecha_confirmacion
8.4.1118521;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=8.4.1118521;2022-07-27 13:22:59.0;66077779;2;2022-07-27 13:25:23.0;2022-07-27 13:25:30.0;2022-07-27 13:25:23.0
4.19.1114324;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=4.19.1114324;2022-07-27 13:23:00.0;66077781;2;2022-07-27 13:25:23.0;2022-07-27 13:25:30.0;2022-07-27 13:25:23.0
10.20.1122851;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=10.20.1122851;2022-07-27 13:23:01.0;66077792;1;2022-07-27 13:25:23.0;2022-07-27 13:25:30.0;2022-07-27 13:25:24.0
10.39.1122903;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=10.39.1122903;2022-07-27 13:23:01.0;66077787;4;2022-07-27 13:25:23.0;2022-07-27 13:25:30.0;2022-07-27 13:25:24.0
4.2.1114468;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=4.2.1114468;2022-07-27 13:23:01.0;66077783;1;2022-07-27 13:25:23.0;2022-07-27 13:25:30.0;2022-07-27 13:25:23.0
5.28.1103116;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=5.28.1103116;2022-07-27 13:23:01.0;66077791;1;2022-07-27 13:25:23.0;2022-07-27 13:25:30.0;2022-07-27 13:25:24.0
5.47.1103581;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=5.47.1103581;2022-07-27 13:23:01.0;66077784;3;2022-07-27 13:25:23.0;2022-07-27 13:25:30.0;2022-07-27 13:25:24.0
1.39.971197;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=1.39.971197;2022-07-27 13:23:02.0;66077796;3;2022-07-27 13:25:23.0;2022-07-27 13:25:30.0;2022-07-27 13:25:24.0
10.23.1123046;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=10.23.1123046;2022-07-27 13:23:02.0;66077793;3;2022-07-27 13:25:23.0;2022-07-27 13:25:30.0;2022-07-27 13:25:24.0
1.24.974665;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=1.24.974665;2022-07-27 13:25:00.0;66077799;1;2022-07-27 13:30:21.0;2022-07-27 13:30:38.0;2022-07-27 13:30:21.0
6.41.956987;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=6.41.956987;2022-07-27 13:25:00.0;66077800;1;2022-07-27 13:30:21.0;2022-07-27 13:30:38.0;2022-07-27 13:30:21.0
1.25.974431;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=1.25.974431;2022-07-27 13:27:59.0;66077802;3;2022-07-27 13:30:21.0;2022-07-27 13:30:38.0;2022-07-27 13:30:21.0
3.3.1112474;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=3.3.1112474;2022-07-27 13:27:59.0;66077801;1;2022-07-27 13:30:21.0;2022-07-27 13:30:38.0;2022-07-27 13:30:21.0
2.29.1099517;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=2.29.1099517;2022-07-27 13:28:00.0;66077805;2;2022-07-27 13:30:21.0;2022-07-27 13:30:38.0;2022-07-27 13:30:22.0
2.32.1098420;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=2.32.1098420;2022-07-27 13:28:00.0;66077816;2;2022-07-27 13:30:21.0;2022-07-27 13:30:39.0;2022-07-27 13:30:22.0
2.33.1098957;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=2.33.1098957;2022-07-27 13:28:00.0;66077820;2;2022-07-27 13:30:21.0;2022-07-27 13:30:39.0;2022-07-27 13:30:23.0
2.5.1099087;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=2.5.1099087;2022-07-27 13:28:00.0;66077811;2;2022-07-27 13:30:21.0;2022-07-27 13:30:39.0;2022-07-27 13:30:22.0
7.2.1078482;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=7.2.1078482;2022-07-27 13:28:00.0;66077818;2;2022-07-27 13:30:21.0;2022-07-27 13:30:39.0;2022-07-27 13:30:23.0
7.42.1078214;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=7.42.1078214;2022-07-27 13:28:00.0;66077813;2;2022-07-27 13:30:21.0;2022-07-27 13:30:39.0;2022-07-27 13:30:22.0
7.44.1068679;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=7.44.1068679;2022-07-27 13:28:00.0;66077809;2;2022-07-27 13:30:21.0;2022-07-27 13:30:39.0;2022-07-27 13:30:22.0
7.46.1078642;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=7.46.1078642;2022-07-27 13:28:00.0;66077807;2;2022-07-27 13:30:21.0;2022-07-27 13:30:38.0;2022-07-27 13:30:22.0
8.5.1118328;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=8.5.1118328;2022-07-27 13:28:00.0;66077815;1;2022-07-27 13:30:21.0;2022-07-27 13:30:39.0;2022-07-27 13:30:22.0
7.37.1078299;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=7.37.1078299;2022-07-27 13:28:01.0;66077822;2;2022-07-27 13:30:21.0;2022-07-27 13:30:39.0;2022-07-27 13:30:23.0
8.16.1118419;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=8.16.1118419;2022-07-27 13:28:01.0;66077829;2;2022-07-27 13:30:21.0;2022-07-27 13:30:39.0;2022-07-27 13:30:23.0
2.40.1098321;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=2.40.1098321;2022-07-27 13:28:01.0;66077824;3;2022-07-27 13:30:21.0;2022-07-27 13:30:39.0;2022-07-27 13:30:23.0
3.1.1112082;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=3.1.1112082;2022-07-27 13:28:01.0;66077831;2;2022-07-27 13:30:21.0;2022-07-27 13:30:39.0;2022-07-27 13:30:23.0
3.10.1111661;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=3.10.1111661;2022-07-27 13:28:01.0;66077827;2;2022-07-27 13:30:21.0;2022-07-27 13:30:39.0;2022-07-27 13:30:23.0
5.5.1103567;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=5.5.1103567;2022-07-27 13:32:01.0;66077833;1;2022-07-27 13:35:20.0;2022-07-27 13:35:21.0;2022-07-27 13:35:20.0
5.20.1102067;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=5.20.1102067;2022-07-27 13:36:00.0;66077834;1;2022-07-27 13:40:20.0;2022-07-27 13:40:22.0;2022-07-27 13:40:20.0
2.28.1099281;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=2.28.1099281;2022-07-27 13:37:59.0;66077835;3;2022-07-27 13:40:20.0;2022-07-27 13:40:22.0;2022-07-27 13:40:21.0
1.30.974175;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=1.30.974175;2022-07-27 13:38:00.0;66077838;1;2022-07-27 13:40:20.0;2022-07-27 13:40:22.0;2022-07-27 13:40:21.0
8.1.1118397;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=8.1.1118397;2022-07-27 13:38:00.0;66077843;2;2022-07-27 13:40:20.0;2022-07-27 13:40:22.0;2022-07-27 13:40:21.0
9.31.1112728;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=9.31.1112728;2022-07-27 13:38:00.0;66077839;5;2022-07-27 13:40:20.0;2022-07-27 13:40:22.0;2022-07-27 13:40:21.0
10.3.1123457;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=10.3.1123457;2022-07-27 13:38:01.0;66077846;3;2022-07-27 13:40:20.0;2022-07-27 13:40:22.0;2022-07-27 13:40:21.0
8.46.1114399;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=8.46.1114399;2022-07-27 13:39:01.0;66077849;2;2022-07-27 13:45:19.0;2022-07-27 13:45:20.0;2022-07-27 13:45:19.0
10.27.1123302;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=10.27.1123302;2022-07-27 13:40:00.0;66077851;1;2022-07-27 13:45:19.0;2022-07-27 13:45:20.0;2022-07-27 13:45:19.0
