doc_id,order_id,doc_uid,type_id,status_id,created_at,validation_status,razon_invalido,product_ids
1391,795967,"692966a9c0021",4,1,"2025-11-28 09:08:57","pending","Sin estado 27","51111"
1425,796742,"692a23af24f1e",2,1,"2025-11-28 22:35:27","pending","Sin estado 27","53632|46817"
1479,797438,"692c2fdce3a7a",4,1,"2025-11-30 11:51:56","pending","Sin estado 27","8062"
1517,798006,"692cd5efab907",2,1,"2025-11-30 23:40:31","pending","Sin estado 27","67132|59780|65108"
1536,798229,"692d957fd52c3",1,1,"2025-12-01 13:17:51","pending","Sin estado 27","70355"
1560,798703,"692e29485dfdd",4,1,"2025-12-01 23:48:24","pending","Sin estado 27","51103"
1562,798715,"692e666209d4a",4,1,"2025-12-02 04:09:06","pending","Sin estado 27","51103|51042|2893"
1565,798774,"692ea5ea22ffa",2,1,"2025-12-02 08:40:10","pending","Sin estado 27","46817"
1617,800023,"69343ad714426",1,1,"2025-12-06 14:16:55","pending","Sin estado 27","35338"
1716,802324,"693fbe24da965",4,1,"2025-12-15 07:52:04","pending","Sin estado 27","48099"
1775,803530,"6943e41f2a062",4,1,"2025-12-18 11:23:11","pending","Sin estado 27","63686|282|10771"
1776,803533,"6943e72be0339",4,1,"2025-12-18 11:36:11","pending","Sin estado 27","63686|10771|282"
1973,807184,"69576e090bd19",4,1,"2026-01-02 07:04:41","pending","Sin estado 27","65530|43021"
1980,807280,"6957c179c04b1",4,1,"2026-01-02 13:00:41","pending","Sin estado 27","70555|61480|62395"
2027,808308,"695e44870a50c",4,1,"2026-01-07 11:33:27","pending","Sin estado 27","52211"
2048,808704,"695fc1762b215",4,1,"2026-01-08 14:38:46","pending","Sin estado 27","38028"
1,762586,"6835fc97868c0",1,5,"2025-05-27 17:55:35","pending","Sin productos bloqueados","55315"
2,762594,"6836058980eaf",1,1,"2025-05-27 18:33:45","pending","Sin productos bloqueados","65726|10771"
3,762597,"68360a185ac39",1,1,"2025-05-27 18:53:12","pending","Sin productos bloqueados","48741|13551"
4,762616,"683622d7e765e",1,1,"2025-05-27 20:38:47","pending","Sin productos bloqueados","63685|54012"
5,762627,"683631f152099",1,1,"2025-05-27 21:43:13","pending","Sin productos bloqueados","20507"
6,762634,"68363c6b4bb08",1,5,"2025-05-27 22:27:55","pending","Sin productos bloqueados","54012|38033|97|10771"
7,761445,"6836c4cfdd9a9",4,1,"2025-05-28 08:09:51","pending","Sin productos bloqueados","638"
8,762656,"6836c7e4b1c0c",1,3,"2025-05-28 08:23:00","pending","Sin productos bloqueados","282|43543"
630,777934,"68c3063ce06e2",4,1,"2025-09-11 17:26:20","pending","Sin productos bloqueados","61806"
636,777936,"68c3fc971960e",2,1,"2025-09-12 10:57:27","pending","Sin productos bloqueados","65403"
669,779636,"68c95152315e7",2,1,"2025-09-16 12:00:18","pending","Sin productos bloqueados","63367"
670,779638,"68c962afedf4a",3,1,"2025-09-16 13:14:23","pending","Sin productos bloqueados","55019"
672,779646,"68c983792c4d3",4,1,"2025-09-16 15:34:17","pending","Sin productos bloqueados","16123"
677,779650,"68ca66e24a4e3",4,5,"2025-09-17 07:44:34","approved","Sin productos bloqueados","24427"
678,779651,"68ca68bdd1381",4,3,"2025-09-17 07:52:29","received","Sin productos bloqueados","58453|60482"
683,779660,"68caf38dba165",2,1,"2025-09-17 17:44:45","pending","Sin productos bloqueados","58453"
691,779664,"68cc3a0dbc45b",3,1,"2025-09-18 16:57:49","pending","Sin productos bloqueados","49058|55511|65197"
699,779669,"68cd19aee2a0a",3,3,"2025-09-19 08:51:58","received","Sin productos bloqueados","46502"
700,779670,"68cd1fdd6201e",4,3,"2025-09-19 09:18:21","received","Sin productos bloqueados","70605|67525"
701,779671,"68cd209ccb80f",2,1,"2025-09-19 09:21:32","pending","Sin productos bloqueados","22648|71155|65908|71155"
702,779673,"68cd23f331b0a",2,1,"2025-09-19 09:35:47","pending","Sin productos bloqueados","58453"
703,779678,"68cd2af2e81e8",3,3,"2025-09-19 10:05:38","received","Sin productos bloqueados","9063"
708,779688,"68cd692606067",3,1,"2025-09-19 14:31:02","pending","Sin productos bloqueados","42534|42534|42534"
713,779691,"68cdac07c337a",3,1,"2025-09-19 19:16:23","pending","Sin productos bloqueados","62291"
714,779692,"68cdadfbd0665",2,1,"2025-09-19 19:24:43","pending","Sin productos bloqueados","26047|50004"
715,779693,"68cdaf6feba1f",2,1,"2025-09-19 19:30:55","pending","Sin productos bloqueados","57692"
930,785386,"68efbafad7849",3,1,"2025-10-15 15:17:14","pending","Sin productos bloqueados","44795"
1301,793774,"69242d21bbe6f",1,3,"2025-11-24 10:02:09","received","Sin productos bloqueados","71040|49141|58734|59741|67784|62897|42504|58867"
1596,799251,"69302f68667d1",4,1,"2025-12-03 12:39:04","pending","Sin productos bloqueados","43323|70026|61293|16097|16095"
1598,799252,"69302ff55d560",1,1,"2025-12-03 12:41:25","pending","Sin productos bloqueados","43709"
1600,799253,"6930505d0ae9e",4,1,"2025-12-03 14:59:41","pending","Sin productos bloqueados","41538|64379"
1611,799542,"6932c08b8fa6b",2,1,"2025-12-05 11:22:51","pending","Sin productos bloqueados","46302"
1648,790568,"693841bddbcc2",2,1,"2025-12-09 15:35:25","pending","Sin productos bloqueados","68031"
1650,800539,"693849ac5644d",3,1,"2025-12-09 16:09:16","pending","Sin productos bloqueados","70827"
1660,800540,"69394f39224e4",3,1,"2025-12-10 10:45:13","pending","Sin productos bloqueados","27362"
1720,800548,"693ff5ba47e54",3,1,"2025-12-15 11:49:14","pending","Sin productos bloqueados","54159"
1721,800549,"693ff5ead2956",3,1,"2025-12-15 11:50:02","pending","Sin productos bloqueados","69521|18588"
1732,800550,"6940383801fd0",4,1,"2025-12-15 16:32:56","pending","Sin productos bloqueados","70718|70717"
1760,801576,"6942c560a5263",3,1,"2025-12-17 14:59:44","pending","Sin productos bloqueados","66130"
1966,807083,"6956afee850a4",2,1,"2026-01-01 17:33:34","pending","Sin productos bloqueados","71119"
2031,808213,"695e71236ff46",3,1,"2026-01-07 14:43:47","pending","Sin productos bloqueados","16253"
